,caseID,eoff,acc,crash
474,1,0.4,-6.3,0
475,1,0.5,-6.3,0
476,1,0.6,-6.3,0
477,1,0.7,-6.3,0
478,1,0.8,-6.3,1
479,1,0.9,-6.3,1
480,1,1,-6.3,1
481,1,1.1,-6.3,1
482,1,1.2,-6.3,1
483,1,1.3,-6.3,1
484,1,1.4,-6.3,1
485,1,1.5,-6.3,1
486,1,1.6,-6.3,1
487,1,1.7,-6.3,1
488,1,1.8,-6.3,1
489,1,1.9,-6.3,1
490,1,2,-6.3,1
491,1,2.1,-6.3,1
492,1,2.2,-6.3,1
493,1,2.3,-6.3,1
494,1,2.4,-6.3,1
495,1,2.5,-6.3,1
496,1,2.6,-6.3,1
497,1,2.7,-6.3,1
498,1,2.8,-6.3,1
499,1,2.9,-6.3,1
500,1,3,-6.3,1
501,1,3.1,-6.3,1
502,1,3.2,-6.3,1
503,1,3.3,-6.3,1
504,1,3.4,-6.3,1
505,1,3.5,-6.3,1
506,1,3.6,-6.3,1
507,1,3.7,-6.3,1
508,1,3.8,-6.3,1
509,1,3.9,-6.3,1
510,1,4,-6.3,1
511,1,4.1,-6.3,1
512,1,4.2,-6.3,1
513,1,4.3,-6.3,1
514,1,4.4,-6.3,1
515,1,4.5,-6.3,1
516,1,4.6,-6.3,1
517,1,4.7,-6.3,1
518,1,4.8,-6.3,1
519,1,4.9,-6.3,1
520,1,5,-6.3,1
521,1,5.1,-6.3,1
522,1,5.2,-6.3,1
523,1,5.3,-6.3,1
524,1,5.4,-6.3,1
525,1,5.5,-6.3,1
526,1,5.6,-6.3,1
527,1,5.7,-6.3,1
528,1,5.8,-6.3,1
529,1,5.9,-6.3,1
530,1,6,-6.3,1
531,1,6.1,-6.3,1
532,1,6.2,-6.3,1
533,1,6.3,-6.3,1
534,1,6.4,-6.3,1
535,1,6.5,-6.3,1
536,1,6.6,-6.3,1
537,1,0,-6.8,0
538,1,0.1,-6.8,0
539,1,0.2,-6.8,0
540,1,0.3,-6.8,0
541,1,0.4,-6.8,0
542,1,0.5,-6.8,0
543,1,0.6,-6.8,0
544,1,0.7,-6.8,0
545,1,0.8,-6.8,1
546,1,0.9,-6.8,1
547,1,1,-6.8,1
548,1,1.1,-6.8,1
549,1,1.2,-6.8,1
550,1,1.3,-6.8,1
551,1,1.4,-6.8,1
552,1,1.5,-6.8,1
553,1,1.6,-6.8,1
554,1,1.7,-6.8,1
555,1,1.8,-6.8,1
556,1,1.9,-6.8,1
557,1,2,-6.8,1
558,1,2.1,-6.8,1
559,1,2.2,-6.8,1
560,1,2.3,-6.8,1
561,1,2.4,-6.8,1
562,1,2.5,-6.8,1
563,1,2.6,-6.8,1
564,1,2.7,-6.8,1
565,1,2.8,-6.8,1
566,1,2.9,-6.8,1
567,1,3,-6.8,1
568,1,3.1,-6.8,1
569,1,3.2,-6.8,1
570,1,3.3,-6.8,1
571,1,3.4,-6.8,1
572,1,3.5,-6.8,1
573,1,3.6,-6.8,1
574,1,3.7,-6.8,1
575,1,3.8,-6.8,1
576,1,3.9,-6.8,1
577,1,4,-6.8,1
578,1,4.1,-6.8,1
579,1,4.2,-6.8,1
580,1,4.3,-6.8,1
581,1,4.4,-6.8,1
582,1,4.5,-6.8,1
583,1,4.6,-6.8,1
584,1,4.7,-6.8,1
585,1,4.8,-6.8,1
586,1,4.9,-6.8,1
587,1,5,-6.8,1
588,1,5.1,-6.8,1
589,1,5.2,-6.8,1
590,1,5.3,-6.8,1
591,1,5.4,-6.8,1
592,1,5.5,-6.8,1
593,1,5.6,-6.8,1
594,1,5.7,-6.8,1
595,1,5.8,-6.8,1
596,1,5.9,-6.8,1
597,1,6,-6.8,1
598,1,6.1,-6.8,1
599,1,6.2,-6.8,1
600,1,6.3,-6.8,1
601,1,6.4,-6.8,1
602,1,6.5,-6.8,1
603,1,6.6,-6.8,1
604,1,0,-7.3,0
605,1,0.1,-7.3,0
606,1,0.2,-7.3,0
607,1,0.3,-7.3,0
608,1,0.4,-7.3,0
609,1,0.5,-7.3,0
610,1,0.6,-7.3,0
611,1,0.7,-7.3,0
612,1,0.8,-7.3,0
613,1,0.9,-7.3,1
614,1,1,-7.3,1
615,1,1.1,-7.3,1
616,1,1.2,-7.3,1
617,1,1.3,-7.3,1
618,1,1.4,-7.3,1
619,1,1.5,-7.3,1
620,1,1.6,-7.3,1
621,1,1.7,-7.3,1
622,1,1.8,-7.3,1
623,1,1.9,-7.3,1
624,1,2,-7.3,1
625,1,2.1,-7.3,1
626,1,2.2,-7.3,1
627,1,2.3,-7.3,1
628,1,2.4,-7.3,1
629,1,2.5,-7.3,1
630,1,2.6,-7.3,1
631,1,2.7,-7.3,1
632,1,2.8,-7.3,1
633,1,2.9,-7.3,1
634,1,3,-7.3,1
635,1,3.1,-7.3,1
636,1,3.2,-7.3,1
637,1,3.3,-7.3,1
638,1,3.4,-7.3,1
639,1,3.5,-7.3,1
640,1,3.6,-7.3,1
641,1,3.7,-7.3,1
642,1,3.8,-7.3,1
643,1,3.9,-7.3,1
644,1,4,-7.3,1
645,1,4.1,-7.3,1
646,1,4.2,-7.3,1
647,1,4.3,-7.3,1
648,1,4.4,-7.3,1
649,1,4.5,-7.3,1
650,1,4.6,-7.3,1
651,1,4.7,-7.3,1
652,1,4.8,-7.3,1
653,1,4.9,-7.3,1
654,1,5,-7.3,1
655,1,5.1,-7.3,1
656,1,5.2,-7.3,1
657,1,5.3,-7.3,1
658,1,5.4,-7.3,1
659,1,5.5,-7.3,1
660,1,5.6,-7.3,1
661,1,5.7,-7.3,1
662,1,5.8,-7.3,1
663,1,5.9,-7.3,1
664,1,6,-7.3,1
665,1,6.1,-7.3,1
666,1,6.2,-7.3,1
667,1,6.3,-7.3,1
668,1,6.4,-7.3,1
669,1,6.5,-7.3,1
670,1,6.6,-7.3,1
671,1,0,-7.8,0
672,1,0.1,-7.8,0
673,1,0.2,-7.8,0
674,1,0.3,-7.8,0
675,1,0.4,-7.8,0
676,1,0.5,-7.8,0
677,1,0.6,-7.8,0
678,1,0.7,-7.8,0
679,1,0.8,-7.8,0
680,1,0.9,-7.8,0
681,1,1,-7.8,1
682,1,1.1,-7.8,1
683,1,1.2,-7.8,1
684,1,1.3,-7.8,1
685,1,1.4,-7.8,1
686,1,1.5,-7.8,1
687,1,1.6,-7.8,1
688,1,1.7,-7.8,1
689,1,1.8,-7.8,1
690,1,1.9,-7.8,1
691,1,2,-7.8,1
692,1,2.1,-7.8,1
693,1,2.2,-7.8,1
694,1,2.3,-7.8,1
695,1,2.4,-7.8,1
696,1,2.5,-7.8,1
697,1,2.6,-7.8,1
698,1,2.7,-7.8,1
699,1,2.8,-7.8,1
700,1,2.9,-7.8,1
701,1,3,-7.8,1
702,1,3.1,-7.8,1
703,1,3.2,-7.8,1
704,1,3.3,-7.8,1
705,1,3.4,-7.8,1
706,1,3.5,-7.8,1
707,1,3.6,-7.8,1
708,1,3.7,-7.8,1
709,1,3.8,-7.8,1
710,1,3.9,-7.8,1
711,1,4,-7.8,1
712,1,4.1,-7.8,1
713,1,4.2,-7.8,1
